          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0



          Teff = 5750 K,  log g = 1.0,  [M/H] = -5.0

 bolometric           0    0.487 (0.0499)    0.588  0.152 (0.0047)    0.259  0.380 (0.0047)
 Stromgren      u     1    0.647 (0.0348)    0.735  0.131 (0.0155)    0.451  0.328 (0.0217)
                v     2    0.807 (0.0284)    0.757 -0.076 (0.0087)    0.921 -0.189 (0.0052)
                b     3    0.711 (0.0164)    0.747  0.053 (0.0065)    0.631  0.133 (0.0086)
                y     4    0.589 (0.0545)    0.702  0.170 (0.0051)    0.334  0.424 (0.0089)
 Johnson        U     5    0.741 (0.0118)    0.748  0.010 (0.0138)    0.727  0.025 (0.0142)
                B     6    0.755 (0.0080)    0.750 -0.007 (0.0073)    0.764 -0.016 (0.0070)
                V     7    0.589 (0.0534)    0.700  0.166 (0.0050)    0.340  0.415 (0.0089)
                R     8    0.459 (0.0751)    0.612  0.230 (0.0064)    0.114  0.576 (0.0080)
                I     9    0.368 (0.0775)    0.525  0.236 (0.0073)    0.014  0.589 (0.0063)
                J    10    0.291 (0.0784)    0.446  0.232 (0.0110)   -0.057  0.580 (0.0030)
                K    11    0.182 (0.0781)    0.326  0.215 (0.0194)   -0.141  0.539 (0.0091)
                L    12    0.135 (0.0589)    0.247  0.168 (0.0113)   -0.117  0.419 (0.0036)
                M    13    0.111 (0.0425)    0.197  0.129 (0.0047)   -0.082  0.322 (0.0019)
                N    14    0.078 (0.0154)    0.108  0.046 (0.0034)    0.009  0.114 (0.0017)
 Cousins        Rc   15    0.484 (0.0728)    0.633  0.224 (0.0062)    0.148  0.559 (0.0082)
                Ic   16    0.386 (0.0807)    0.551  0.247 (0.0070)    0.015  0.618 (0.0074)
 Bessell        UX   17    0.733 (0.0110)    0.746  0.020 (0.0138)    0.703  0.050 (0.0148)
 Bessell        BX   18    0.752 (0.0073)    0.750 -0.003 (0.0072)    0.756 -0.007 (0.0071)
 Bessell        B    19    0.755 (0.0082)    0.750 -0.007 (0.0073)    0.766 -0.018 (0.0070)
 Bessell        V    20    0.588 (0.0536)    0.699  0.167 (0.0050)    0.337  0.418 (0.0089)
 Bessell        R    21    0.483 (0.0728)    0.632  0.224 (0.0062)    0.147  0.559 (0.0082)
 Bessell        I    22    0.382 (0.0801)    0.545  0.245 (0.0070)    0.015  0.612 (0.0072)
 Tycho         TyB   23    0.782 (0.0178)    0.755 -0.040 (0.0085)    0.842 -0.100 (0.0067)
               TyV   24    0.613 (0.0467)    0.711  0.147 (0.0049)    0.393  0.367 (0.0091)
 Hipparchos    HIP   25    0.651 (0.0293)    0.713  0.094 (0.0047)    0.509  0.236 (0.0081)
 KEPLER              26    0.538 (0.0580)    0.658  0.180 (0.0048)    0.268  0.450 (0.0083)
 COROT SIS           27    0.544 (0.0537)    0.656  0.167 (0.0045)    0.294  0.418 (0.0080)
 COROT EXO           28    0.537 (0.0553)    0.651  0.172 (0.0046)    0.280  0.429 (0.0080)
 Geneva         U    29    0.662 (0.0285)    0.735  0.110 (0.0152)    0.497  0.275 (0.0205)
                B    30    0.782 (0.0178)    0.754 -0.041 (0.0083)    0.843 -0.102 (0.0064)
                B1   31    0.812 (0.0319)    0.756 -0.084 (0.0096)    0.938 -0.209 (0.0056)
                B2   32    0.744 (0.0069)    0.752  0.013 (0.0073)    0.724  0.033 (0.0079)
                V    33    0.589 (0.0536)    0.700  0.167 (0.0051)    0.339  0.417 (0.0089)
                V1   34    0.599 (0.0515)    0.706  0.160 (0.0051)    0.359  0.401 (0.0090)
                G    35    0.547 (0.0635)    0.678  0.196 (0.0055)    0.253  0.490 (0.0086)
 Vilnius        U    36    0.656 (0.0304)    0.733  0.116 (0.0150)    0.482  0.290 (0.0206)
                P    37    0.756 (0.0149)    0.752 -0.005 (0.0145)    0.763 -0.012 (0.0142)
                X    38    0.815 (0.0326)    0.757 -0.088 (0.0091)    0.947 -0.219 (0.0049)
                Y    39    0.712 (0.0160)    0.747  0.052 (0.0065)    0.634  0.130 (0.0085)
                Z    40    0.631 (0.0429)    0.721  0.135 (0.0051)    0.429  0.337 (0.0091)
                V    41    0.592 (0.0537)    0.703  0.167 (0.0051)    0.341  0.417 (0.0089)
                S    42    0.468 (0.0765)    0.625  0.235 (0.0064)    0.116  0.587 (0.0083)
 Milone         iz   43    0.331 (0.0732)    0.477  0.220 (0.0083)    0.001  0.550 (0.0046)
                iJ   44    0.287 (0.0786)    0.442  0.233 (0.0110)   -0.062  0.581 (0.0032)
                iH   45    0.218 (0.0911)    0.387  0.254 (0.0218)   -0.163  0.635 (0.0096)
                iK   46    0.179 (0.0771)    0.320  0.212 (0.0192)   -0.140  0.531 (0.0090)
 YMS94         iz    47    0.331 (0.0732)    0.477  0.220 (0.0083)    0.001  0.550 (0.0046)
               iJ    48    0.287 (0.0786)    0.442  0.233 (0.0110)   -0.062  0.581 (0.0032)
               iH    49    0.218 (0.0911)    0.387  0.254 (0.0218)   -0.163  0.635 (0.0096)
               iK    50    0.179 (0.0771)    0.320  0.212 (0.0192)   -0.140  0.531 (0.0090)
               iL    51    0.129 (0.0558)    0.236  0.160 (0.0101)   -0.111  0.400 (0.0029)
               iLp   52    0.124 (0.0527)    0.226  0.153 (0.0085)   -0.106  0.383 (0.0019)
               iM    53    0.112 (0.0443)    0.201  0.133 (0.0053)   -0.088  0.333 (0.0017)
               in    54    0.080 (0.0152)    0.109  0.045 (0.0035)    0.013  0.111 (0.0017)
               iN    55    0.071 (0.0132)    0.096  0.038 (0.0035)    0.014  0.095 (0.0020)
 Sloan DSS      u    56    0.705 (0.0145)    0.742  0.055 (0.0146)    0.623  0.137 (0.0172)
                g    57    0.693 (0.0203)    0.737  0.066 (0.0057)    0.594  0.165 (0.0083)
                r    58    0.505 (0.0704)    0.649  0.216 (0.0060)    0.180  0.541 (0.0083)
                i    59    0.400 (0.0802)    0.564  0.246 (0.0069)    0.032  0.614 (0.0075)
                z    60    0.358 (0.0753)    0.510  0.228 (0.0076)    0.015  0.571 (0.0057)
 HST STIS Ly_alpha   61    0.802 (0.0804)    0.586 -0.323 (0.0326)    1.286 -0.807 (0.0474)
            Fclear   62    0.585 (0.0211)    0.606  0.031 (0.0138)    0.538  0.079 (0.0123)
             Fsrf2   63    0.584 (0.0215)    0.605  0.033 (0.0139)    0.535  0.081 (0.0124)
              Fqtz   64    0.599 (0.0164)    0.606  0.010 (0.0146)    0.584  0.025 (0.0141)
              CIII   65    0.760 (0.0601)    0.593 -0.249 (0.0285)    1.134 -0.624 (0.0397)
              MgII   66    0.818 (0.0669)    0.668 -0.225 (0.0069)    1.156 -0.562 (0.0175)
            Nclear   67    0.819 (0.0714)    0.648 -0.257 (0.0136)    1.204 -0.642 (0.0258)
             Nsrf2   68    0.818 (0.0707)    0.648 -0.254 (0.0135)    1.199 -0.636 (0.0256)
              Nqtz   69    0.821 (0.0731)    0.645 -0.263 (0.0142)    1.216 -0.659 (0.0268)
             cn182   70    0.792 (0.0575)    0.648 -0.216 (0.0146)    1.117 -0.541 (0.0246)
             cn270   71    0.840 (0.0824)    0.647 -0.289 (0.0137)    1.274 -0.723 (0.0276)
            Oclear   72    0.539 (0.0526)    0.649  0.164 (0.0042)    0.294  0.410 (0.0078)
         Oclear-lp   73    0.441 (0.0748)    0.594  0.229 (0.0066)    0.097  0.572 (0.0075)
             [OII]   74    0.749 (0.0148)    0.759  0.016 (0.0179)    0.725  0.040 (0.0187)
            [OIII]   75    0.655 (0.0354)    0.729  0.111 (0.0054)    0.489  0.278 (0.0088)
 2MASS          J    76    0.289 (0.0784)    0.444  0.232 (0.0109)   -0.059  0.580 (0.0031)
 2MASS          H    77    0.217 (0.0904)    0.385  0.252 (0.0215)   -0.162  0.631 (0.0094)
 2MASS          Ks   78    0.182 (0.0778)    0.324  0.214 (0.0194)   -0.140  0.536 (0.0091)
 SWASP               79    0.602 (0.0445)    0.695  0.140 (0.0045)    0.393  0.349 (0.0084)
 MOST                80    0.584 (0.0485)    0.685  0.152 (0.0045)    0.357  0.379 (0.0084)
 GAIA (2006)    G    81    0.559 (0.0508)    0.664  0.159 (0.0043)    0.321  0.397 (0.0081)
 GAIA (2010)    G    82    0.530 (0.0568)    0.648  0.176 (0.0046)    0.266  0.440 (0.0080)
 GAIA (2010)    BP   83    0.616 (0.0405)    0.701  0.128 (0.0044)    0.424  0.321 (0.0084)
 GAIA (2010)    RP   84    0.401 (0.0783)    0.560  0.239 (0.0070)    0.042  0.598 (0.0072)
 GAIA (2010)  G_RV   85    0.364 (0.0780)    0.523  0.238 (0.0070)    0.007  0.596 (0.0066)
 Milone        230   86    0.862 (0.1084)    0.581 -0.423 (0.0375)    1.497 -1.057 (0.0570)
               250   87    0.871 (0.1053)    0.610 -0.391 (0.0274)    1.457 -0.978 (0.0459)
               270   88    0.840 (0.0819)    0.649 -0.287 (0.0134)    1.270 -0.717 (0.0271)
               290   89    0.793 (0.0515)    0.684 -0.165 (0.0031)    1.040 -0.411 (0.0094)
               310   90    0.739 (0.0199)    0.711 -0.043 (0.0089)    0.803 -0.107 (0.0070)
               330   91    0.687 (0.0156)    0.728  0.062 (0.0136)    0.595  0.154 (0.0165)
 CaII triplet  858   92    0.362 (0.0786)    0.523  0.241 (0.0068)    0.002  0.601 (0.0068)
 WIRE  Johnson V+R   93    0.506 (0.0672)    0.644  0.207 (0.0056)    0.195  0.518 (0.0083)
               LUT   94    0.756 (0.0242)    0.709 -0.070 (0.0042)    0.861 -0.175 (0.0011)
              TESS   95    0.416 (0.0765)    0.572  0.234 (0.0069)    0.066  0.584 (0.0072)


          Teff = 5750 K,  log g = 1.5,  [M/H] = -5.0

 bolometric           0    0.487 (0.0519)    0.592  0.159 (0.0047)    0.249  0.397 (0.0057)
 Stromgren      u     1    0.661 (0.0383)    0.755  0.141 (0.0164)    0.449  0.352 (0.0231)
                v     2    0.791 (0.0137)    0.774 -0.025 (0.0089)    0.829 -0.063 (0.0078)
                b     3    0.698 (0.0272)    0.755  0.086 (0.0061)    0.569  0.215 (0.0090)
                y     4    0.580 (0.0601)    0.703  0.185 (0.0057)    0.302  0.463 (0.0090)
 Johnson        U     5    0.731 (0.0156)    0.768  0.055 (0.0149)    0.648  0.138 (0.0175)
                B     6    0.740 (0.0112)    0.763  0.035 (0.0071)    0.687  0.087 (0.0086)
                V     7    0.580 (0.0592)    0.702  0.183 (0.0056)    0.306  0.456 (0.0090)
                R     8    0.456 (0.0761)    0.612  0.234 (0.0061)    0.105  0.585 (0.0087)
                I     9    0.366 (0.0769)    0.523  0.236 (0.0063)    0.012  0.590 (0.0077)
                J    10    0.291 (0.0772)    0.444  0.230 (0.0099)   -0.054  0.575 (0.0038)
                K    11    0.184 (0.0761)    0.325  0.211 (0.0181)   -0.133  0.528 (0.0080)
                L    12    0.136 (0.0564)    0.245  0.163 (0.0093)   -0.109  0.408 (0.0027)
                M    13    0.112 (0.0394)    0.194  0.123 (0.0026)   -0.072  0.307 (0.0036)
                N    14    0.077 (0.0122)    0.102  0.037 (0.0023)    0.023  0.091 (0.0009)
 Cousins        Rc   15    0.480 (0.0746)    0.633  0.229 (0.0062)    0.135  0.574 (0.0088)
                Ic   16    0.387 (0.0795)    0.551  0.245 (0.0060)    0.019  0.613 (0.0086)
 Bessell        UX   17    0.725 (0.0168)    0.766  0.061 (0.0150)    0.633  0.153 (0.0179)
 Bessell        BX   18    0.737 (0.0121)    0.762  0.038 (0.0070)    0.680  0.095 (0.0086)
 Bessell        B    19    0.740 (0.0111)    0.763  0.034 (0.0072)    0.689  0.086 (0.0085)
 Bessell        V    20    0.579 (0.0594)    0.701  0.183 (0.0056)    0.304  0.458 (0.0090)
 Bessell        R    21    0.479 (0.0746)    0.632  0.229 (0.0062)    0.135  0.573 (0.0088)
 Bessell        I    22    0.382 (0.0790)    0.545  0.244 (0.0060)    0.017  0.609 (0.0084)
 Tycho         TyB   23    0.766 (0.0078)    0.770  0.007 (0.0085)    0.756  0.017 (0.0088)
               TyV   24    0.603 (0.0536)    0.714  0.166 (0.0054)    0.354  0.416 (0.0092)
 Hipparchos    HIP   25    0.639 (0.0383)    0.720  0.121 (0.0051)    0.457  0.303 (0.0090)
 KEPLER              26    0.531 (0.0623)    0.660  0.193 (0.0053)    0.242  0.482 (0.0089)
 COROT SIS           27    0.537 (0.0585)    0.658  0.182 (0.0049)    0.264  0.454 (0.0088)
 COROT EXO           28    0.530 (0.0598)    0.654  0.186 (0.0050)    0.252  0.464 (0.0088)
 Geneva         U    29    0.673 (0.0331)    0.755  0.124 (0.0163)    0.487  0.309 (0.0222)
                B    30    0.766 (0.0076)    0.770  0.006 (0.0083)    0.757  0.015 (0.0086)
                B1   31    0.795 (0.0164)    0.775 -0.030 (0.0102)    0.840 -0.075 (0.0088)
                B2   32    0.729 (0.0163)    0.763  0.052 (0.0069)    0.652  0.129 (0.0088)
                V    33    0.580 (0.0594)    0.702  0.183 (0.0057)    0.306  0.458 (0.0090)
                V1   34    0.590 (0.0576)    0.708  0.178 (0.0056)    0.323  0.445 (0.0090)
                G    35    0.540 (0.0676)    0.679  0.208 (0.0060)    0.229  0.519 (0.0089)
 Vilnius        U    36    0.670 (0.0337)    0.753  0.125 (0.0161)    0.482  0.313 (0.0221)
                P    37    0.741 (0.0144)    0.773  0.049 (0.0156)    0.668  0.122 (0.0179)
                X    38    0.798 (0.0170)    0.775 -0.035 (0.0096)    0.850 -0.087 (0.0080)
                Y    39    0.698 (0.0269)    0.755  0.085 (0.0061)    0.571  0.212 (0.0089)
                Z    40    0.621 (0.0504)    0.725  0.156 (0.0055)    0.387  0.390 (0.0091)
                V    41    0.583 (0.0595)    0.705  0.183 (0.0057)    0.308  0.458 (0.0090)
                S    42    0.465 (0.0779)    0.624  0.240 (0.0062)    0.105  0.600 (0.0091)
 Milone         iz   43    0.326 (0.0730)    0.474  0.221 (0.0072)   -0.005  0.553 (0.0059)
                iJ   44    0.288 (0.0771)    0.441  0.230 (0.0099)   -0.057  0.574 (0.0040)
                iH   45    0.218 (0.0896)    0.385  0.250 (0.0211)   -0.157  0.626 (0.0090)
                iK   46    0.180 (0.0750)    0.319  0.208 (0.0178)   -0.132  0.521 (0.0078)
 YMS94         iz    47    0.327 (0.0730)    0.474  0.221 (0.0072)   -0.005  0.553 (0.0059)
               iJ    48    0.288 (0.0771)    0.441  0.230 (0.0099)   -0.057  0.574 (0.0040)
               iH    49    0.218 (0.0896)    0.385  0.250 (0.0211)   -0.157  0.626 (0.0090)
               iK    50    0.180 (0.0750)    0.319  0.208 (0.0177)   -0.132  0.521 (0.0078)
               iL    51    0.130 (0.0532)    0.234  0.155 (0.0081)   -0.102  0.388 (0.0025)
               iLp   52    0.124 (0.0500)    0.223  0.149 (0.0064)   -0.098  0.371 (0.0024)
               iM    53    0.113 (0.0413)    0.198  0.127 (0.0032)   -0.078  0.318 (0.0034)
               in    54    0.079 (0.0123)    0.104  0.037 (0.0022)    0.022  0.094 (0.0009)
               iN    55    0.071 (0.0100)    0.089  0.028 (0.0026)    0.029  0.069 (0.0014)
 Sloan DSS      u    56    0.704 (0.0227)    0.761  0.086 (0.0158)    0.575  0.215 (0.0199)
                g    57    0.680 (0.0307)    0.745  0.097 (0.0057)    0.534  0.243 (0.0089)
                r    58    0.500 (0.0729)    0.649  0.224 (0.0062)    0.163  0.561 (0.0089)
                i    59    0.401 (0.0793)    0.564  0.244 (0.0061)    0.034  0.611 (0.0086)
                z    60    0.353 (0.0752)    0.507  0.230 (0.0064)    0.008  0.576 (0.0072)
 HST STIS Ly_alpha   61    0.876 (0.1163)    0.572 -0.456 (0.0411)    1.560 -1.140 (0.0621)
            Fclear   62    0.671 (0.0309)    0.577 -0.141 (0.0265)    0.883 -0.352 (0.0328)
             Fsrf2   63    0.670 (0.0305)    0.577 -0.139 (0.0264)    0.878 -0.347 (0.0327)
              Fqtz   64    0.685 (0.0355)    0.578 -0.160 (0.0271)    0.924 -0.399 (0.0343)
              CIII   65    0.844 (0.1033)    0.566 -0.418 (0.0423)    1.471 -1.044 (0.0612)
              MgII   66    0.843 (0.0704)    0.693 -0.225 (0.0036)    1.181 -0.563 (0.0125)
            Nclear   67    0.859 (0.0851)    0.659 -0.299 (0.0126)    1.308 -0.749 (0.0269)
             Nsrf2   68    0.858 (0.0845)    0.660 -0.297 (0.0125)    1.304 -0.744 (0.0268)
              Nqtz   69    0.862 (0.0870)    0.657 -0.307 (0.0131)    1.322 -0.767 (0.0278)
             cn182   70    0.841 (0.0803)    0.640 -0.302 (0.0207)    1.295 -0.756 (0.0346)
             cn270   71    0.871 (0.0895)    0.670 -0.302 (0.0089)    1.324 -0.754 (0.0233)
            Oclear   72    0.533 (0.0570)    0.652  0.178 (0.0047)    0.267  0.444 (0.0087)
         Oclear-lp   73    0.438 (0.0757)    0.593  0.233 (0.0062)    0.089  0.581 (0.0084)
             [OII]   74    0.731 (0.0196)    0.781  0.075 (0.0192)    0.618  0.188 (0.0228)
            [OIII]   75    0.644 (0.0436)    0.734  0.134 (0.0057)    0.443  0.335 (0.0087)
 2MASS          J    76    0.289 (0.0770)    0.442  0.229 (0.0098)   -0.055  0.574 (0.0040)
 2MASS          H    77    0.218 (0.0889)    0.384  0.249 (0.0208)   -0.155  0.622 (0.0088)
 2MASS          Ks   78    0.183 (0.0758)    0.323  0.210 (0.0180)   -0.132  0.526 (0.0079)
 SWASP               79    0.593 (0.0513)    0.699  0.160 (0.0050)    0.353  0.399 (0.0090)
 MOST                80    0.575 (0.0546)    0.688  0.170 (0.0051)    0.321  0.424 (0.0089)
 GAIA (2006)    G    81    0.551 (0.0562)    0.667  0.175 (0.0049)    0.289  0.437 (0.0089)
 GAIA (2010)    G    82    0.523 (0.0611)    0.649  0.189 (0.0050)    0.239  0.473 (0.0088)
 GAIA (2010)    BP   83    0.606 (0.0479)    0.706  0.150 (0.0049)    0.381  0.375 (0.0091)
 GAIA (2010)    RP   84    0.399 (0.0780)    0.559  0.240 (0.0062)    0.039  0.600 (0.0083)
 GAIA (2010)  G_RV   85    0.359 (0.0779)    0.519  0.240 (0.0059)   -0.001  0.600 (0.0081)
 Milone        230   86    0.929 (0.1379)    0.581 -0.522 (0.0401)    1.713 -1.305 (0.0646)
               250   87    0.915 (0.1206)    0.626 -0.433 (0.0241)    1.564 -1.082 (0.0448)
               270   88    0.871 (0.0888)    0.672 -0.298 (0.0085)    1.318 -0.746 (0.0227)
               290   89    0.816 (0.0534)    0.708 -0.161 (0.0055)    1.057 -0.402 (0.0052)
               310   90    0.759 (0.0208)    0.735 -0.036 (0.0123)    0.813 -0.091 (0.0107)
               330   91    0.704 (0.0181)    0.749  0.068 (0.0156)    0.601  0.171 (0.0189)
 CaII triplet  858   92    0.358 (0.0785)    0.519  0.242 (0.0058)   -0.006  0.606 (0.0083)
 WIRE  Johnson V+R   93    0.501 (0.0700)    0.644  0.216 (0.0058)    0.177  0.539 (0.0088)
               LUT   94    0.772 (0.0248)    0.726 -0.069 (0.0059)    0.875 -0.172 (0.0026)
              TESS   95    0.414 (0.0767)    0.571  0.236 (0.0062)    0.060  0.589 (0.0082)


          Teff = 5750 K,  log g = 2.0,  [M/H] = -5.0

 bolometric           0    0.485 (0.0549)    0.597  0.168 (0.0048)    0.232  0.421 (0.0067)
 Stromgren      u     1    0.675 (0.0426)    0.777  0.153 (0.0170)    0.445  0.382 (0.0242)
                v     2    0.769 (0.0105)    0.788  0.029 (0.0086)    0.725  0.073 (0.0098)
                b     3    0.679 (0.0399)    0.761  0.124 (0.0062)    0.493  0.310 (0.0097)
                y     4    0.568 (0.0670)    0.705  0.206 (0.0062)    0.258  0.516 (0.0098)
 Johnson        U     5    0.722 (0.0268)    0.787  0.098 (0.0151)    0.575  0.244 (0.0197)
                B     6    0.719 (0.0252)    0.773  0.081 (0.0070)    0.598  0.202 (0.0099)
                V     7    0.568 (0.0661)    0.704  0.204 (0.0061)    0.262  0.510 (0.0098)
                R     8    0.451 (0.0785)    0.613  0.243 (0.0057)    0.086  0.608 (0.0100)
                I     9    0.363 (0.0777)    0.523  0.241 (0.0053)    0.001  0.603 (0.0092)
                J    10    0.289 (0.0775)    0.444  0.232 (0.0091)   -0.059  0.581 (0.0048)
                K    11    0.183 (0.0755)    0.323  0.210 (0.0175)   -0.131  0.525 (0.0075)
                L    12    0.137 (0.0553)    0.245  0.162 (0.0082)   -0.105  0.404 (0.0029)
                M    13    0.114 (0.0377)    0.194  0.119 (0.0015)   -0.065  0.299 (0.0047)
                N    14    0.077 (0.0106)    0.098  0.032 (0.0015)    0.028  0.081 (0.0006)
 Cousins        Rc   15    0.473 (0.0777)    0.633  0.241 (0.0059)    0.112  0.601 (0.0100)
                Ic   16    0.385 (0.0800)    0.552  0.249 (0.0052)    0.012  0.623 (0.0100)
 Bessell        UX   17    0.719 (0.0274)    0.786  0.100 (0.0154)    0.569  0.250 (0.0201)
 Bessell        BX   18    0.717 (0.0261)    0.772  0.083 (0.0069)    0.591  0.209 (0.0099)
 Bessell        B    19    0.720 (0.0251)    0.773  0.080 (0.0070)    0.599  0.201 (0.0099)
 Bessell        V    20    0.567 (0.0663)    0.703  0.204 (0.0061)    0.260  0.511 (0.0098)
 Bessell        R    21    0.472 (0.0777)    0.632  0.240 (0.0059)    0.111  0.601 (0.0100)
 Bessell        I    22    0.380 (0.0796)    0.545  0.248 (0.0051)    0.008  0.620 (0.0099)
 Tycho         TyB   23    0.745 (0.0177)    0.783  0.057 (0.0082)    0.658  0.144 (0.0105)
               TyV   24    0.590 (0.0618)    0.717  0.191 (0.0060)    0.303  0.478 (0.0100)
 Hipparchos    HIP   25    0.624 (0.0488)    0.726  0.153 (0.0056)    0.394  0.382 (0.0101)
 KEPLER              26    0.521 (0.0680)    0.661  0.211 (0.0056)    0.205  0.527 (0.0099)
 COROT SIS           27    0.526 (0.0647)    0.660  0.201 (0.0053)    0.224  0.504 (0.0100)
 COROT EXO           28    0.519 (0.0657)    0.656  0.204 (0.0053)    0.213  0.511 (0.0099)
 Geneva         U    29    0.685 (0.0383)    0.777  0.139 (0.0170)    0.476  0.348 (0.0236)
                B    30    0.744 (0.0174)    0.782  0.056 (0.0080)    0.660  0.141 (0.0103)
                B1   31    0.773 (0.0101)    0.791  0.026 (0.0100)    0.734  0.066 (0.0111)
                B2   32    0.708 (0.0303)    0.772  0.095 (0.0067)    0.566  0.238 (0.0098)
                V    33    0.568 (0.0663)    0.704  0.204 (0.0061)    0.261  0.511 (0.0098)
                V1   34    0.577 (0.0650)    0.711  0.200 (0.0061)    0.277  0.500 (0.0098)
                G    35    0.530 (0.0728)    0.680  0.225 (0.0062)    0.193  0.562 (0.0099)
 Vilnius        U    36    0.684 (0.0379)    0.776  0.138 (0.0170)    0.478  0.344 (0.0235)
                P    37    0.726 (0.0268)    0.792  0.099 (0.0155)    0.578  0.247 (0.0202)
                X    38    0.776 (0.0092)    0.790  0.021 (0.0093)    0.744  0.053 (0.0102)
                Y    39    0.679 (0.0396)    0.762  0.123 (0.0062)    0.495  0.308 (0.0097)
                Z    40    0.606 (0.0591)    0.728  0.182 (0.0061)    0.333  0.456 (0.0098)
                V    41    0.570 (0.0664)    0.707  0.205 (0.0062)    0.263  0.512 (0.0098)
                S    42    0.458 (0.0806)    0.625  0.250 (0.0058)    0.083  0.625 (0.0104)
 Milone         iz   43    0.321 (0.0740)    0.473  0.227 (0.0062)   -0.018  0.567 (0.0074)
                iJ   44    0.286 (0.0772)    0.440  0.231 (0.0091)   -0.061  0.578 (0.0050)
                iH   45    0.219 (0.0892)    0.385  0.249 (0.0210)   -0.154  0.622 (0.0091)
                iK   46    0.180 (0.0743)    0.318  0.207 (0.0171)   -0.130  0.517 (0.0074)
 YMS94         iz    47    0.321 (0.0740)    0.473  0.227 (0.0062)   -0.018  0.567 (0.0074)
               iJ    48    0.286 (0.0772)    0.440  0.231 (0.0091)   -0.061  0.578 (0.0050)
               iH    49    0.219 (0.0892)    0.385  0.249 (0.0210)   -0.154  0.622 (0.0091)
               iK    50    0.180 (0.0743)    0.318  0.207 (0.0171)   -0.130  0.517 (0.0074)
               iL    51    0.132 (0.0521)    0.234  0.154 (0.0069)   -0.099  0.385 (0.0030)
               iLp   52    0.125 (0.0490)    0.224  0.148 (0.0051)   -0.096  0.370 (0.0034)
               iM    53    0.114 (0.0397)    0.198  0.125 (0.0020)   -0.072  0.312 (0.0045)
               in    54    0.078 (0.0104)    0.100  0.032 (0.0015)    0.030  0.080 (0.0006)
               iN    55    0.069 (0.0086)    0.086  0.025 (0.0018)    0.032  0.062 (0.0007)
 Sloan DSS      u    56    0.705 (0.0315)    0.782  0.115 (0.0164)    0.532  0.289 (0.0219)
                g    57    0.662 (0.0427)    0.751  0.133 (0.0060)    0.462  0.334 (0.0098)
                r    58    0.492 (0.0767)    0.650  0.237 (0.0060)    0.136  0.593 (0.0100)
                i    59    0.398 (0.0801)    0.565  0.249 (0.0053)    0.025  0.623 (0.0100)
                z    60    0.348 (0.0763)    0.506  0.236 (0.0054)   -0.006  0.590 (0.0088)
 HST STIS Ly_alpha   61    0.952 (0.1513)    0.565 -0.581 (0.0469)    1.823 -1.451 (0.0739)
            Fclear   62    0.805 (0.0947)    0.541 -0.396 (0.0466)    1.399 -0.990 (0.0644)
             Fsrf2   63    0.804 (0.0946)    0.540 -0.396 (0.0466)    1.398 -0.989 (0.0644)
              Fqtz   64    0.817 (0.0991)    0.542 -0.412 (0.0472)    1.435 -1.030 (0.0657)
              CIII   65    0.938 (0.1491)    0.546 -0.588 (0.0537)    1.820 -1.470 (0.0806)
              MgII   66    0.863 (0.0692)    0.723 -0.210 (0.0064)    1.178 -0.525 (0.0064)
            Nclear   67    0.896 (0.0952)    0.677 -0.328 (0.0101)    1.388 -0.820 (0.0258)
             Nsrf2   68    0.895 (0.0946)    0.678 -0.326 (0.0100)    1.384 -0.815 (0.0257)
              Nqtz   69    0.899 (0.0972)    0.675 -0.335 (0.0104)    1.401 -0.837 (0.0265)
             cn182   70    0.898 (0.1056)    0.635 -0.394 (0.0259)    1.489 -0.986 (0.0441)
             cn270   71    0.895 (0.0908)    0.700 -0.293 (0.0039)    1.335 -0.733 (0.0165)
            Oclear   72    0.524 (0.0628)    0.655  0.196 (0.0050)    0.230  0.490 (0.0100)
         Oclear-lp   73    0.432 (0.0779)    0.593  0.241 (0.0057)    0.070  0.603 (0.0098)
             [OII]   74    0.713 (0.0342)    0.800  0.130 (0.0188)    0.518  0.325 (0.0251)
            [OIII]   75    0.629 (0.0531)    0.737  0.162 (0.0064)    0.386  0.405 (0.0093)
 2MASS          J    76    0.288 (0.0771)    0.442  0.231 (0.0090)   -0.059  0.578 (0.0049)
 2MASS          H    77    0.219 (0.0884)    0.384  0.247 (0.0207)   -0.151  0.617 (0.0089)
 2MASS          Ks   78    0.183 (0.0750)    0.322  0.209 (0.0174)   -0.130  0.522 (0.0075)
 SWASP               79    0.579 (0.0594)    0.702  0.185 (0.0056)    0.302  0.461 (0.0099)
 MOST                80    0.563 (0.0620)    0.691  0.192 (0.0056)    0.274  0.481 (0.0099)
 GAIA (2006)    G    81    0.540 (0.0629)    0.670  0.196 (0.0053)    0.246  0.490 (0.0100)
 GAIA (2010)    G    82    0.513 (0.0667)    0.651  0.207 (0.0053)    0.202  0.518 (0.0099)
 GAIA (2010)    BP   83    0.593 (0.0566)    0.710  0.177 (0.0055)    0.327  0.442 (0.0102)
 GAIA (2010)    RP   84    0.396 (0.0791)    0.559  0.246 (0.0054)    0.027  0.614 (0.0097)
 GAIA (2010)  G_RV   85    0.355 (0.0788)    0.519  0.245 (0.0050)   -0.013  0.613 (0.0097)
 Milone        230   86    0.985 (0.1588)    0.596 -0.583 (0.0374)    1.859 -1.457 (0.0650)
